
<7>[    3.589317] random 0030 0000 0000 9bdad8b7 f39b4c75: add_timer_randomness(.. 8388864) with jiffies: 6305966547009461895, cycles: 6305966542714571213
[    4.567589] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.567593] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16382078755364855676, cycles: -2064665322639586867
[    4.568196] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.568200] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16388335921419706236, cycles: -2058408156584736307
[    4.568209] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.568212] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16388461922875268988, cycles: -2058282155129173555
[    4.569205] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.569209] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16398726460921012092, cycles: -2048017617083430451
[    4.569528] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.569532] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16402051616011640700, cycles: -2044692461992801843
[    4.570116] random 0043 0000 0000 b603583b b54947e0: rand_read_num 258 get_random_bytes(16): sig fffffd4c b603583b b54947e0
[    4.570119] random 0043 0000 0000 b603583b b54947e0: extract_entropy(.. 16 ..)
[    4.570122] random 0043 0000 0000 b603583b b54947e0: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.570125] random 0043 0000 0000 b603583b b54947e0: extract_entropy(.. 16 ..)
[    4.570127] random 0043 0000 0000 b603583b b54947e0: trying to extract 128 bits from input
[    4.570129] random 0043 0000 0000 b603583b b54947e0: debiting 0 entropy credits from input
[    4.570131] random 0043 0000 0000 b603583b b54947e0: extract_entropy account returned: 0 
[    4.570134] random 0043 0000 0000 b603583b b54947e0: urand_change_num 782 xfer_secondary_pool(16): pool_sig fffffd4c, data_sig 00000000, bytes_mixed 0 b603583b b54947e0
[    4.570137] random 0043 0000 0000 b603583b b54947e0: trying to extract 128 bits from nonblocking
[    4.570140] random 0043 0000 0000 b603583b b54947e0: debiting 128 entropy credits from nonblocking (unlimited)
[    4.570142] random 0043 0000 0000 b603583b b54947e0: extract_entropy account returned: 16 
[    4.570146] random 0043 0000 0000 b603583b b54947e0: urand_change_num 783 extract_buf: pool_sig fffffd4c, data_sig fffffd21, bytes_mixed 20 b603583b b54947e0
[    4.570150] random 0043 0000 0000 b42bb8d2 165864b4: urand_change_num 784 extract_buf: pool_sig fffffaa3, data_sig ffffff08, bytes_mixed 20 b42bb8d2 165864b4
[    4.570941] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.570945] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16416606499968573309, cycles: -2030137578035869235
[    4.571238] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.571242] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16419663829488557949, cycles: -2027080248515884595
[    4.571352] Adding 1046520k swap on /dev/sda5.  Priority:-1 extents:1 across:1046520k 
[    4.571471] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.571475] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16422063964587745149, cycles: -2024680113416697395
[    4.571730] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.571734] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16424731500055814013, cycles: -2022012577948628531
[    4.571974] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.571978] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16427249660856295293, cycles: -2019494417148147251
[    4.572035] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.572039] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16427877774053531517, cycles: -2018866303950911027
[    4.572322] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.572326] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16430835361548001149, cycles: -2015908716456441395
[    4.574089] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574093] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16449029461489147773, cycles: -1997714616515294771
[    4.574165] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574167] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16449808366693179261, cycles: -1996935711311263283
[    4.574279] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574283] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16450986721035607934, cycles: -1995757356968834611
[    4.574358] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574362] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16451805170003533694, cycles: -1994938908000908851
[    4.574417] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574420] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16452404756027989886, cycles: -1994339321976452659
[    4.574491] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574495] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16453166962399174526, cycles: -1993577115605268019
[    4.574563] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574568] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16453915472119652222, cycles: -1992828605884790323
[    4.574646] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574650] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16454771158454034302, cycles: -1991972919550408243
[    4.574715] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574718] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16455472895980658558, cycles: -1991271182023783987
[    4.574786] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.574790] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16456214087076863870, cycles: -1990529990927578675
[    4.575126] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.575130] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16459717083878317950, cycles: -1987026994126124595
[    4.575497] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.575501] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16463535344164200318, cycles: -1983208733840242227
[    4.575691] RANDOM get_random_int call with cycles 10779906615604, jiffies 4294893438 and pid 1
[    4.576035] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576039] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16469080554965229438, cycles: -1977663523039213107
[    4.576098] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576102] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16469726140089425790, cycles: -1977017937915016755
[    4.576174] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576179] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16470507016683446142, cycles: -1976237061320996403
[    4.576250] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576254] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16471290470257844094, cycles: -1975453607746598451
[    4.576308] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576311] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16471881217239605118, cycles: -1974862860764837427
[    4.576690] <30>udevd[349]: starting version 175
[    4.576733] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576736] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16476257767439392638, cycles: -1970486310565049907
[    4.576796] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576800] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16476911946793148286, cycles: -1969832131211294259
[    4.576850] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576853] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16477466512970407806, cycles: -1969277565034034739
[    4.576903] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576907] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16478015925186912126, cycles: -1968728152817530419
[    4.576963] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.576966] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16478629787682660222, cycles: -1968114290321782323
[    4.577015] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.577019] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16479171507612737406, cycles: -1967572570391705139
[    4.577068] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.577073] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16479715482400644990, cycles: -1967028595603797555
[    4.577414] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.577418] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16483278686053654398, cycles: -1963465391950788147
[    4.577777] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.577781] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16487019327690563454, cycles: -1959724750313879091
[    4.578091] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.578095] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16490249134507220862, cycles: -1956494943497221683
[    4.578212] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.578217] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16491504458958561151, cycles: -1955239619045881395
[    4.578299] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.578303] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16492389754797481855, cycles: -1954354323206960691
[    4.578938] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.578942] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16498976941844389759, cycles: -1947767136160052787
[    4.579043] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579048] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16500061592885321599, cycles: -1946682485119120947
[    4.579114] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579118] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16500790929871789951, cycles: -1945953148132652595
[    4.579175] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579179] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16501415757419044735, cycles: -1945328320585397811
[    4.579234] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579237] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16502020471634452351, cycles: -1944723606369990195
[    4.579292] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579297] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16502627492247297919, cycles: -1944116585757144627
[    4.579362] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579365] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16503338184780734335, cycles: -1943405893223708211
[    4.579420] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579424] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16503943916903391103, cycles: -1942800161101051443
[    4.579489] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579492] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16504646272905305983, cycles: -1942097805099136563
[    4.579619] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579622] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16505984717858725759, cycles: -1940759360145716787
[    4.579679] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579682] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16506602561789157247, cycles: -1940141516215285299
[    4.579748] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.579751] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16507312713156714367, cycles: -1939431364847728179
[    4.582284] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.582288] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16533437994195935104, cycles: -1913306083808507443
[    4.582346] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.582350] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16534075436062138240, cycles: -1912668641942304307
[    4.582405] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.582408] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16534680768752836480, cycles: -1912063309251606067
[    4.582464] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.582468] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16535295017795641216, cycles: -1911449060208801331
[    4.582521] random 0043 0000 0000 b42bb8d2 165864b4: add_disk_randomness(8:0) b42bb8d2 165864b4
[    4.582525] random 0043 0000 0000 b42bb8d2 165864b4: add_timer_randomness(.. 8388864) with jiffies: 16535881783342718848, cycles: -1910862294661723699
[    4.582804] random 0043 0000 0000 b42bb8d2 165864b4: rand_read_num 259 get_random_bytes(16): sig 000000d1 b42bb8d2 165864b4
[    4.582807] random 0043 0000 0000 b42bb8d2 165864b4: extract_entropy(.. 16 ..)
[    4.582810] random 0043 0000 0000 b42bb8d2 165864b4: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.582812] random 0043 0000 0000 b42bb8d2 165864b4: extract_entropy(.. 16 ..)
[    4.582814] random 0043 0000 0000 b42bb8d2 165864b4: trying to extract 128 bits from input
[    4.582817] random 0043 0000 0000 b42bb8d2 165864b4: debiting 0 entropy credits from input
[    4.582819] random 0043 0000 0000 b42bb8d2 165864b4: extract_entropy account returned: 0 
[    4.582822] random 0043 0000 0000 b42bb8d2 165864b4: urand_change_num 785 xfer_secondary_pool(16): pool_sig 000000d1, data_sig 00000000, bytes_mixed 0 b42bb8d2 165864b4
[    4.582825] random 0043 0000 0000 b42bb8d2 165864b4: trying to extract 128 bits from nonblocking
[    4.582827] random 0043 0000 0000 b42bb8d2 165864b4: debiting 128 entropy credits from nonblocking (unlimited)
[    4.582830] random 0043 0000 0000 b42bb8d2 165864b4: extract_entropy account returned: 16 
[    4.582833] random 0043 0000 0000 b42bb8d2 165864b4: urand_change_num 786 extract_buf: pool_sig 000000d1, data_sig fffffff7, bytes_mixed 20 b42bb8d2 165864b4
[    4.582838] random 0043 0000 0000 62cc21d7 16646c5d: urand_change_num 787 extract_buf: pool_sig fffffef0, data_sig fffffe4c, bytes_mixed 20 62cc21d7 16646c5d
[    4.583784] random 0043 0000 0000 1a914d80 0be314b7: add_disk_randomness(8:0) 1a914d80 0be314b7
[    4.583787] random 0043 0000 0000 1a914d80 0be314b7: add_timer_randomness(.. 8388864) with jiffies: 16548882649347710848, cycles: -1897861428656731699
[    4.583839] random 0043 0000 0000 1a914d80 0be314b7: add_disk_randomness(8:0) 1a914d80 0be314b7
[    4.583842] random 0043 0000 0000 1a914d80 0be314b7: add_timer_randomness(.. 8388864) with jiffies: 16549451079679401856, cycles: -1897292998325040691
[    4.583892] random 0043 0000 0000 1a914d80 0be314b7: add_disk_randomness(8:0) 1a914d80 0be314b7
[    4.583895] random 0043 0000 0000 1a914d80 0be314b7: add_timer_randomness(.. 8388864) with jiffies: 16549996317187694464, cycles: -1896747760816748083
